Category,main_category
Coffee Shop,Cafe
Shopping Mall,Mall
Intersection,
Gym,Gym
Convenience Store,Store
Bakery,Cafe
Supermarket,Market
Ice Cream Shop,Café
Bar,Bar
Italian Restaurant,Restaurant
Café,Cafe
Hotel,Hotel
Thai Restaurant,Restaurant
Middle Eastern Restaurant,Restaurant
Asian Restaurant,Restaurant
Restaurant,Restaurant
Chinese Restaurant,Restaurant
American Restaurant,Restaurant
Grocery Store,Market
Fast Food Restaurant,Restaurant
Pool,Pool
Basketball Court,Sports Club
Park,Park
Athletics & Sports,Sports Club
Pharmacy,Pharmacy
Gym / Fitness Center,Gym
Bus Station,RTA
Multiplex,Store
Sports Club,Sports Club
Donut Shop,Cafe
Shawarma Place,Restaurant
Sandwich Place,Restaurant
Pizza Place,Restaurant
Hot Dog Joint,Restaurant
Automotive Shop,Auto
Volleyball Court,Sports Club
Motel,Hotel
Market,Market
Pakistani Restaurant,Restaurant
Cricket Ground,Sports Club
Gourmet Shop,Market
Playground,Sports Club
Music Venue,Art
BBQ Joint,Restaurant
Turkish Restaurant,Restaurant
Garden,Park
Auto Garage,Auto
Rest Area,Hotel
Fruit & Vegetable Store,Market
Golf Course,Sports Club
Dog Run,
Burger Joint,Restaurant
Fish Market,Market
Toy / Game Store,Store
Bed & Breakfast,Hotel
Boutique,Market
Print Shop,
Furniture / Home Store,Store
ATM,ATM
Pet Store,Store
Lake,Park
Liquor Store,Store
Plaza,Mall
Greek Restaurant,Restaurant
Indian Restaurant,Restaurant
Music School,Art
Molecular Gastronomy Restaurant,Restaurant
Modern European Restaurant,Restaurant
Cocktail Bar,Bar
Irish Pub,Bar
Noodle House,Restaurant
Health & Beauty Service,Beauty
Vietnamese Restaurant,Restaurant
Health Food Store,Restaurant
Shopping Plaza,Mall
Indonesian Restaurant,Restaurant
Theme Restaurant,Restaurant
Korean Restaurant,Restaurant
Massage Studio,Beauty
Breakfast Spot,Restaurant
Seafood Restaurant,Restaurant
Residential Building (Apartment / Condo),Hotel
Sushi Restaurant,Restaurant
Sporting Goods Shop,Store
Latin American Restaurant,Restaurant
French Restaurant,Restaurant
Hookah Bar,Cafe
Dessert Shop,Cafe
Lounge,Cafe
Gym Pool,Gym
Steakhouse,Restaurant
Comfort Food Restaurant,Restaurant
Cosmetics Shop,Beauty
Japanese Restaurant,Restaurant
Eastern European Restaurant,Restaurant
Theme Park Ride / Attraction,Park
Falafel Restaurant,Restaurant
English Restaurant,Restaurant
Lebanese Restaurant,Restaurant
Bookstore,Store
Hotel Pool,Pool
Beach,Beach
Waterfront,Park
Sports Bar,Bar
Bistro,Restaurant
Speakeasy,
Movie Theater,Cinema
Gastropub,Restaurant
Mexican Restaurant,Restaurant
Salon / Barbershop,Beauty
Tram Station,RTA
Pub,Bar
Beach Bar,Bar
Yoga Studio,Gym
Clothing Store,Store
Spa,Beauty
Tea Room,Cafe
Light Rail Station,RTA
Grilled Meat Restaurant,Restaurant
Department Store,Store
Jewelry Store,Store
Mobile Phone Shop,Store
Diner,Restaurant
Food Court,Restaurant
Shoe Store,Store
University,
Snack Place,Restaurant
Concert Hall,Music
African Restaurant,Restaurant
Neighborhood,
Nightclub,Bar
Cuban Restaurant,Restaurant
Hotel Bar,Bar
Office,
Nail Salon,Beauty
Moroccan Restaurant,Restaurant
Business Service,
Deli / Bodega,Restaurant
Resort,Hotel
Electronics Store,Store
Organic Grocery,Market
Buffet,Restaurant
Karaoke Bar,Bar
Mediterranean Restaurant,Restaurant
Building,
Roof Deck,
Dim Sum Restaurant,Restaurant
Salad Place,Restaurant
Juice Bar,Cafe
Food & Drink Shop,Restaurant
Cafeteria,Restaurant
Art Gallery,Art
Burrito Place,
Gymnastics Gym,Gym
Persian Restaurant,Restaurant
Chocolate Shop,Cafe
Gaming Cafe,Cafe
Arts & Crafts Store,Art
Indie Movie Theater,Cinema
Egyptian Restaurant,Restaurant
Auto Workshop,Auto
Dumpling Restaurant,Restaurant
Motorcycle Shop,Auto
Currency Exchange,Currency
Afghan Restaurant,Restaurant
Photography Lab,Art
South Indian Restaurant,Restaurant
Photography Studio,Art
Performing Arts Venue,Art
Kids Store,Store
Garden Center,Store
Shop & Service,Store
Antique Shop,Store
Warehouse Store,Store
Optical Shop,Store
Water Park,Park
Women's Store,Store
Farmers Market,Market
Board Shop,Store
Poke Place,
Flower Shop,Store
Arepa Restaurant,Restaurant
Fried Chicken Joint,Restaurant
Big Box Store,Store
Bubble Tea Shop,Cafe
Sri Lankan Restaurant,Restaurant
Surf Spot,
Doner Restaurant,Restaurant
Event Space,
Peruvian Restaurant,Restaurant
Perfume Shop,Beauty
Australian Restaurant,Restaurant
Tennis Court,Sports Club
Canal,Park
Rental Car Location,Auto
Caribbean Restaurant,Restaurant
Martial Arts Dojo,Gym
Spanish Restaurant,Restaurant
Theme Park,Park
Waterfall,Park
Fountain,Park
Leather Goods Store,Store
Frozen Yogurt Shop,Cafe
Gift Shop,Store
Skating Rink,
Cupcake Shop,Cafe
Candy Store,Store
Aquarium,Park
Music Store,Art
Lingerie Store,Store
Kebab Restaurant,Restaurant
New American Restaurant,Restaurant
Wine Bar,Bar
Wings Joint,Restaurant
Belgian Restaurant,Restaurant
Bridal Shop,
Brazilian Restaurant,Restaurant
Trail,
Gluten-free Restaurant,Restaurant
Men's Store,Store
Track Stadium,Sports Club
Dance Studio,Art
Creperie,Cafe
Hobby Shop,Art
Vegetarian / Vegan Restaurant,Restaurant
Paper / Office Supplies Store,Store
North Indian Restaurant,Restaurant
Chaat Place,Restaurant
Filipino Restaurant,Restaurant
Smoke Shop,Store
Arcade,
Ethiopian Restaurant,Restaurant
