,name,categories,lat,lng
0,The Greens الروضة,Neighborhood,25.09282801458707,55.17085075378418
1,Nad Al Sheba 2 ند الشبا,Neighborhood,25.16051218850616,55.34622847381401
2,Burj Al Arab Open Beach,Beach,25.14741094531447,55.193853929904854
3,Arabian Ranches 2,Neighborhood,25.03507989616755,55.2671038410289
4,Nadd AlHammar Park,Park,25.20179858815111,55.38051631786798
5,Arabian Ranches,Neighborhood,25.054345542557108,55.270843505859375
6,Remraam رمرام,Neighborhood,25.003142294663828,55.251124660959
7,"Green Community, Motor City",Neighborhood,25.056149486523317,55.251070700502495
8,Barsha Heights,Neighborhood,25.09663275735504,55.177020366958295
9,Arjan,Neighborhood,25.063394968301616,55.23566637535785
10,Dubai Sports City (المدينة الرياضية),Neighborhood,25.042604038622912,55.21955966949463
11,Arabian Ranches,Neighborhood,25.082375524597914,55.313687564891424
12,The Springs (الينابيع),Neighborhood,25.058723327136295,55.18481127438296
13,Jumeirah Village Circle,Neighborhood,25.052341956488792,55.20524892803831
14,Al Barsha South البرشاء جنوب,Neighborhood,25.088331308018823,55.23761941538056
15,Al Barsha (البرشاء),Neighborhood,25.114547444190638,55.20492533879358
16,Jumeirah Village Triangle District 7,Neighborhood,25.053867458547945,55.19117206642256
17,Al Barsha 3,Neighborhood,25.092240945753844,55.19408580542992
18,Al Barsha South Second (البرشاء جنوب الثانية),Neighborhood,25.081197349100268,55.2074979070484
19,Jumeirah Village Triangle District 8,Neighborhood,25.04919213005072,55.18551761318629
20,The Springs 10,Neighborhood,25.05835476272029,55.18223938771572
21,Springs 14,Neighborhood,25.046290666612563,55.17711202056659
22,Albarsha,Neighborhood,25.113499695583712,55.24003110341633
23,Meadows 7,Neighborhood,25.06197215832006,55.17774820714386
24,Al Barsha 2nd (البرشاء الثانية),Neighborhood,25.10735525756755,55.21706077162813
25,The Springs 3,Neighborhood,25.058018726694094,55.17477757987079
26,Emirates Hills,Neighborhood,25.06884462444196,55.175354444967184
27,Al Quoz Industrial 3,Neighborhood,25.1144689466896,55.2176109519505
28,Green Community (West),Neighborhood,25.003538504377186,55.16249181711555
29,Discovery Gardens,Neighborhood,25.03080800818671,55.15785613942626
30,JBR (الجي بي آر),Neighborhood,25.08009893153251,55.1365999311103
31,The Lakes,Neighborhood,25.078678221699295,55.169672223914155
32,Al Furjan الفرجان,Neighborhood,25.028073801955234,55.15460592483898
33,Al Barsha 1,Neighborhood,25.11165661500847,55.19573591451227
34,Dubai Investment Park,Neighborhood,24.981029107797703,55.16499842208484
35,Desert spring village,Neighborhood,25.101614031423146,55.17597983582457
