"year","month","metro_station","trips"
"2019","Jan","Abu Baker Al Siddique Metro Station","382239"
"2019","Jan","Abu Hail Metro Station","268977"
"2019","Jan","ADCB Metro Station","553630"
"2019","Jan","Airport Terminal 1 Metro Station","261977"
"2019","Jan","Airport Terminal 3 Metro Station","160434"
"2019","Jan","Al Fahidi  Metro Station","684239"
"2019","Jan","Al Ghubaiba Metro Station","424328"
"2019","Jan","Al Jadaf Metro Station","61097"
"2019","Jan","Al Jafiliya Metro Station","428237"
"2019","Jan","Al Nahda Metro Station","240025"
"2019","Jan","Al Qiyadah Metro Station","181392"
"2019","Jan","Al Qusais  Metro Station","192351"
"2019","Jan","Al Ras Metro Station","189664"
"2019","Jan","Al Rigga Metro Station","837778"
"2019","Jan","Baniyas Square Metro Station","568283"
"2019","Jan","Burj Khalifa/ Dubai Mall Metro Station","704247"
"2019","Jan","BurJuman Metro Station","1104953"
"2019","Jan","Business Bay Metro Station","609513"
"2019","Jan","Creek Metro Station","69796"
"2019","Jan","DAMAC Properties Metro Station","429268"
"2019","Jan","Danube Metro Station","130280"
"2019","Jan","Deira City Centre Metro Station","654759"
"2019","Jan","DMCC Metro Station","949838"
"2019","Jan","Dubai Airport Free Zone Metro Station","325865"
"2019","Jan","Dubai Healthcare City Metro Station","173748"
"2019","Jan","Dubai Internet City  Metro Station","511922"
"2019","Jan","Emirates Metro Station","199368"
"2019","Jan","Emirates Towers Metro Station","326822"
"2019","Jan","Energy  Metro Station","6861"
"2019","Jan","Etisalat Metro Station","181791"
"2019","Jan","Financial Centre Metro Station","302124"
"2019","Jan","First Abu Dhabi Bank Metro Station","316308"
"2019","Jan","GGICO  Metro Station","217766"
"2019","Jan","Ibn Battuta Metro Station","238894"
"2019","Jan","Mall of the Emirates Metro Station","669055"
"2019","Jan","Nakheel Metro Station","137964"
"2019","Jan","Noor Bank Metro Station","471892"
"2019","Jan","Oud Metha Metro Station","462036"
"2019","Jan","Palm Deira Metro Station","250203"
"2019","Jan","Rashidiya Metro Station","495956"
"2019","Jan","Salah Al Din Metro Station","427229"
"2019","Jan","Sharaf DG Metro Station","280271"
"2019","Jan","Stadium Metro Station","511090"
"2019","Jan","UAE Exchange Metro Station","84669"
"2019","Jan","Union  Metro Station","947845"
"2019","Jan","World Trade Centre Metro Station","336613"
